abaĵuro 	Noun 	(archaic) lampshade 	From French abat-jour. 	 
didaktiko 	Noun 	didactics 	From French didactique, from Ancient Greek διδακτικός (didaktikós, “skilled in teaching”), from διδακτός (didaktós, “taught, learnt”), from διδάσκω (didáskō, “I teach, educate”). 	 
didelfo 	Noun 	opossum 	From French didelphe. 	 
difini 	Verb 	(transitive) to define 	From French définir, Italian definire. 	 
difinebla 	Adjective 	definable 	From difini +‎ -ebla. 	 
diftongo 	Noun 	(phonetics) diphthong 	From English diphthong, French diphtongue, etc., from Latin diphthongus. 	 
digo 	Noun 	embankment 	From French digue and Italian diga. 	 
dimanĉo 	Noun 	Sunday 	Borrowed from French dimanche. 	 
dinamiko 	Noun 	(mechanics) dynamics 	From French dynamique, from Ancient Greek δυναμικός (dunamikós, “powerful”). 	 
dingo 	Noun 	a dingo 	From English dingo, French dingo, German Dingo, Polish dingo, Hungarian dingo and/or Russian динго (dingo), all ultimately from Dharug dingu (“tame dingo”). 	 
direktoro 	Noun 	director 	From English director, French directeur. 	 
ĉefdirektoro 	Noun 	(business) CEO 	From ĉef- +‎ direktoro. 	 
diri 	Verb 	to say, tell 	Borrowed from French dire and Italian dire. 	 
disko 	Noun 	disk (flat, round object) 	From Latin discus, reinforced by English, French, German, Italian, etc. 	 
ĉefmemora disko 	Noun 	(computing) RAM disk 	  	 
flugdisko 	Noun 	flying disc; frisbee 	flugi +‎ disko 	 
kompakta disko 	Noun 	compact disc, CD 	  	 
laserdisko 	Noun 	laser disc 	lasero +‎ disko 	 
diskuti 	Verb 	(transitive) to discuss 	From French discuter, Italian discutere, German diskutieren. 	 
ditirambo 	Noun 	dithyramb 	From French dithyrambe, from Latin dithyrambus, from Ancient Greek διθύραμβος (dithúrambos), of Pre-Greek origin. 	 
divano 	Noun 	(furniture) ottoman, divan 	From French divan, from Ottoman Turkish دیوان‎ (dîvân), from Persian دیوان‎ (divân). 	 
do 	Adverb 	therefore, then, indeed, however 	From French donc. 	 
domaĝo 	Noun 	pity, loss, mishap 	From French dommage. 	 
domaĝe 	Adverb 	that's too bad, what a pity 	From French dommage. 	 
doni 	Verb 	to give 	From French donner, from Latin dōnō. 	 
aldoni 	Verb 	to add; to give, put, or say something in addition to what was already given, put, or said 	From al- (“to”) +‎ doni (“to give”). 	 
almozdoni 	Verb 	to give alms, give to charity 	From almozo +‎ doni. 	 
amdonantino 	Noun 	(female) beloved, lover, mistress 	From amdonanto +‎ -ino. 	 
amdonanto 	Noun 	beloved, lover 	amo +‎ donanto. 	 
disdoni 	Verb 	to give out, distribute 	From dis- +‎ doni. 	 
disdono 	Noun 	distribution 	From disdoni +‎ -o. 	 
eldoni 	Verb 	(transitive) to issue, publish 	From el- +‎ doni (“to give”). 	 
eldonaĵo 	Noun 	publication 	From eldoni (“to issue, publish”) +‎ -aĵo. 	 
eldonejo 	Noun 	publisher, press (printing press) 	From eldoni +‎ -ejo. 	 
fordoni 	Verb 	to give away 	From for- +‎ doni. 	 
redoni 	Verb 	(transitive) to give back, return 	From re- +‎ doni. 	 
sindoni 	Verb 	to devote oneself 	From si(n) (“oneself”) +‎ doni (“to give”). 	 
sindona 	Adjective 	selfless, generous, devoted 	From sindoni (“to devote oneself”) +‎ -a (adjectival ending), from si(n) (“oneself”) +‎ doni (“to give”). 	 
sindone 	Adverb 	devotedly, generously, selflessly 	From sindoni (“to devote oneself”) +‎ -e (adverbial ending), from si(n) (“oneself”) +‎ doni (“to give”). 	 
sindonema 	Adjective 	selfless 	From sindoni (“to devote oneself”) +‎ -ema (“showing an inclination toward, a penchant for”), from si(n) (“oneself”) +‎ doni (“to give”). 	 
transdoni 	Verb 	to hand over 	From trans- +‎ doni (“to give”). 	 
voĉdoni 	Verb 	to vote 	From voĉo (“voice”) +‎ doni (“to give”). 	 
pruntedoni 	Verb 	to lend 	 	 
dorloti 	Verb 	to pamper, coddle 	From French dorloter. 	 
dorsosako 	Noun 	backpack 	From dorso (“back”) +‎ sako (“sack”), a calque of  English backpack,  French sac à dos,  German Rucksack. Perhaps influenced by earlier attested Ido dorsosako. 	 
dosiero 	Noun 	file 	From French dossier. 	 
dualismo 	Noun 	(philosophy, politics, theology) dualism 	From French dualisme, a coinage from Latin dualis + -isme. 	 
duonkonduktaĵo 	Noun 	semiconductor 	From duono +‎ konduktaĵo, presumably a calque of English semiconductor, French semiconducteur, or German Halbleiter. 	 
duŝi 	Verb 	(transitive) to shower, douche 	Compare French douche. 	 
duŝejo 	Noun 	a shower room 	From duŝi (“to shower”) +‎ -ejo (“place”). 	 
duŝilo 	Noun 	a shower (fixture) 	From duŝi (“to shower”) +‎ -ilo (“tool”). 	 
duŝo 	Noun 	shower (for washing) 	From French douche. 	 
eduki 	Verb 	to educate 	From French éduquer, English educate, Latin and Italian educare. 	 
edukado 	Noun 	education 	From eduki +‎ -ado. 	 
edukiĝi 	Verb 	(intransitive) to be educated 	From eduki +‎ -iĝi. 	 
edukisto 	Noun 	educator 	From eduki +‎ -isto. 	 
egala 	Adjective 	equal 	Borrowed from French égal. 	 
egaleco 	Noun 	equality 	From egala (“equal”) +‎ -eco. 	 
ekipi 	Verb 	to equip 	From French équiper. 	 
ekrano 	Noun 	screen (of a computer, television, etc.) 	From French écran, Russian экра́н (ekrán). 	 
ekskurso 	Noun 	excursion, outing 	From French excursion, German Exkursion, English excursion. 	 
ekspluati 	Verb 	(transitive) to exploit 	Borrowed from French exploiter. 	 
ekzameni 	Verb 	to examine 	From French examiner, from Latin exāmināre, present active infinitive of exāminō (“I weigh, consider; I examine”). 	 
ekzemplo 	Noun 	example 	From French exemple, German Exempel, English example. 	 
ekzemple 	Adverb 	for example 	  	 
ekzemplero 	Noun 	exemplar 	  	 
enketi 	Verb 	to inquire, investigate 	Borrowed from French enquêter  +‎ -i. 	 
enklavo 	Noun 	enclave 	From French enclave. 	 
enui 	Verb 	to be bored 	Borrowed from French ennuyer. 	 
enua 	Adjective 	boring 	enu- + -a 	 
enuiga 	Adjective 	boring, stodgy 	From enu- +‎ -ig- +‎ -a. 	 
enuigi 	Verb 	to bore 	From enu- +‎ -igi. 	 
enuiĝi 	Verb 	(intransitive) to get bored 	From enui +‎ -iĝi. 	 
enuo 	Noun 	boredom 	enu- + -o 	 
enverguro 	Noun 	wingspan 	From French envergure. 	 
epidermo 	Noun 	(anatomy, botany) epidermis 	Borrowed from French épiderme, English epidermis, etc. 	 
epoleto 	Noun 	epaulette 	From French épaulette. 	 
esperi 	Verb 	(transitive, intransitive) to hope 	Borrowed from French espérer. 	 
esprimi 	Verb 	(transitive) to express 	From Italian esprimere, French exprimer, from Latin exprimō. 	 
esti 	Verb 	(intransitive) to be 	From French est, Ancient Greek ἐστί (estí), German ist, and Latin est. 	 
ĉeesti 	Verb 	to be present 	ĉe (“at”) +‎ esti (“to be”) 	 
ĉeesto 	Noun 	presence 	From ĉeesti +‎ -o. 	 
ĉieesto 	Noun 	ubiquity, omnipresence 	  	 
ekesti 	Verb 	to acquire, get, obtain 	From ek- +‎ esti. 	 
ekestigi 	Verb 	to initiate 	From ek- +‎ esti +‎ -igi. 	 
estadi 	Verb 	(intransitive, copulative) to continue to be, to be for some time, to remain 	From esti (“to be”) +‎ -adi (durative suffix). 	 
estaĵo 	Noun 	a being 	  	 
estanteco 	Noun 	present (the current moment) 	From estanta +‎ -eco. 	 
estigi 	Verb 	to cause to arise 	From esti (“to be”) +‎ -igi. 	 
estiĝi 	Verb 	(intransitive) to come to be, arise, start to exist 	From esti +‎ -iĝi. 	 
estinteco 	Noun 	past 	From estinta +‎ -eco. 	 
esto 	Noun 	being 	From esti +‎ -o. 	 
estulo 	Noun 	being, creature (with personhood) 	esto +‎ -ulo 	 
estonteco 	Noun 	future (the time ahead) 	From estonta +‎ -eco. 	 
foresti 	Verb 	to be absent 	From for +‎ esti. 	 
foresto 	Noun 	absence 	From foresti +‎ -o. 	 
kunesti 	Verb 	(intransitive) to keep company; to be together (as in a relationship or otherwise) 	From kun- (“together”) +‎ esti (“to be”). 	 
etaĝo 	Noun 	story/storey, floor 	From French étage. 	 
etendi 	Verb 	(transitive) to expand or extend 	Borrowed from French étendre. 	 
etikedo 	Noun 	Label, tag. 	From French étiquette, German Etikett. 	 
fablo 	Noun 	fable (story, tale) 	Borrowed from French fable, English fable, from Latin fabula. 	 
fabo 	Noun 	bean 	From French fève 	 
familio 	Noun 	family 	From German Familie, French famille, Italian famiglia, English family, ultimately from Latin familia. 	 
familiano 	Noun 	family member 	From familio +‎ -ano. 	 
fanatika 	Adjective 	fanatical, extreme 	Probably borrowed from French fanatique or English fanatic and/or fanatical. 	 
fanatikulo 	Noun 	fanatic, zealot, extremist 	From fanatika +‎ -ulo. 	 
fari 	Verb 	to do 	From Italian fare and French faire, from Latin faciō, facere. 	 
alfari 	Verb 	(transitive) to adapt, accommodate, fit; (of clothing) to tailor 	From al- +‎ fari. 	 
fariĝi 	Verb 	(intransitive) to be made 	From fari +‎ -iĝi. 	 
faro 	Noun 	deed (an action or act) 	From fari (“to do”) +‎ -o (nominal suffix). 	 
malfari 	Verb 	to undo 	From mal- (“opposite of”) +‎ fari (“to do, make”). 	 
farenda 	Adjective 	which must be done 	fari (“do”) +‎ -enda (“required to”) 	 
farendaĵo 	Noun 	something that must be done; a thing to do 	From farenda (“which must be done”) +‎ -aĵo (“thing”). 	 
febla 	Adjective 	(chiefly  poetic) weak 	From Ido, from French faible. 	 
feminismo 	Noun 	(feminism) feminism (the social theory or political movement) 	From English feminism, French feminisme, German Feminismus, etc.. Sometimes reinterpreted as femino (“rare word for woman”) +‎ -ismo (“doctrine, theory, or practice”). 	 
feo 	Noun 	fairy 	From French fée and German Fee, by way of feino with the feminine suffix -ino. 	 
fermi 	Verb 	(transitive) to close, to shut 	From French fermer. 	 
ĵetfermi 	Verb 	(transitive) to slam (a door, etc.), slam (something) shut 	From ĵeti (“throw”) +‎ fermi (“close”). 	 
fermilo 	Noun 	lock 	From fermi +‎ -ilo. 	 
lapfermilo 	Noun 	hook-and-loop fastener (such as, or a.k.a., Velcro) 	lapo (“burdock”) +‎ fermilo (“fastener”) 	 
fetiĉo 	Noun 	fetish (object that is venerated or believed to have special powers) 	From French fétiche. 	 
fi 	Interjection 	For shame! 	From French fi. 	 
fiasko 	Noun 	fiasco, failure 	From English fiasco, French fiasco, from Italian fiasco (“flask”). 	 
filantropo 	Noun 	philanthropist 	From French philanthrope. 	 
fini 	Verb 	(transitive) to end, finish 	Borrowed from Italian finire, French finir, ultimately from Latin. 	 
finaĉi 	Verb 	(transitive) to end badly 	fini (“to end”) +‎ -aĉ- 	 
finiĝi 	Verb 	(intransitive) to come to an end, finish 	From fini +‎ -iĝi. 	 
flanko 	Noun 	side 	From Portuguese flanco, English flank, German Flanke, French flanc, Norwegian flanke, Danish flanke. 	 
ambaŭflanke 	Adverb 	on either side, on both sides 	From ambaŭ +‎ flanko +‎ -e. 	 
dorsoflanko 	Noun 	backside (side of something that is opposite the front) 	From dorso (“back”) +‎ flanko (“side”). 	 
flanka 	Adjective 	on the side 	  	 
flanke 	Adverb 	on the side 	  	 
ĉi-flanke 	Adverb 	on this side 	ĉi (“this”) +‎ flanke (“on the side”) 	 
flanko 	Noun 	side 	From Portuguese flanco, English flank, German Flanke, French flanc, Norwegian flanke, Danish flanke. 	 
flankĉaro 	Noun 	sidecar 	From flanko +‎ ĉaro. 	 
montoflanko 	Noun 	mountainside 	From monto +‎ flanko. 	 
flavbekulo 	Noun 	greenhorn 	From flava (“yellow”) +‎ beko (“beak”) +‎ -ulo (“person characterized by the quality expressed in the root”), calque of  French béjaune. 	 
flugfolio 	Noun 	flyer, leaflet 	From flugo +‎ folio, calque of  German Flugblatt and calque of  French feuille volante. 	 
foiro 	Noun 	fair, market 	From French foire. 	 
fojno 	Noun 	hay 	French foin 	 
fojo 	Noun 	time, occasion 	Borrowed from French fois. 	 
ambaŭfoje 	Adverb 	both times, on both occasions 	ambaŭ +‎ fojo +‎ -e. 	 
ankoraŭfoje 	Adverb 	once again, once more, yet again 	From ankoraŭ (“still, yet”) +‎ fojo (“time”) +‎ -e. 	 
fosfato 	Noun 	(chemistry) phosphate 	From English phosphate, French phosphate, etc. 	 
polifosfato 	Noun 	(chemistry) polyphosphate 	  	 
trifosfato 	Noun 	(chemistry) triphosphate 	  	 
frajo 	Noun 	roe, fry, spawn (clustered eggs of fish and certain other animals) 	Borrowed from French frai and English fry. 	 
frakasi 	Verb 	(transitive) to shatter, break to pieces 	Borrowed from French fracasser  +‎ -i. 	 
frambo 	Noun 	raspberry 	Borrowed from French framboise. 	 
frapi 	Verb 	(transitive) to hit, strike, smack, knock 	From French frapper. 	 
frazo 	Noun 	(grammar) sentence (grammatically complete series of words consisting of a subject and predicate) 	From French phrase. 	 
freneza 	Adjective 	insane, crazy 	From French frénésie. 	 
fripono 	Noun 	crook, rogue 	From French fripon. 	 
ĉeffripono 	Noun 	archfiend 	From ĉef- +‎ fripono. 	 
fromaĝo 	Noun 	cheese 	Borrowed from French fromage and Italian formaggio, from Latin formāticum, from formō, formāre, from Ancient Greek μορφή (morphḗ, “shape, form”). 	 
froti 	Verb 	(transitive) to rub, to scrub 	From French frotter. 	 
funebro 	Noun 	funeral (ceremony) 	From French funèbre. 	 
furo 	Noun 	ferret 	From Late Latin fūrō (“cat; robber”), diminutive of Latin fūr (“thief”), with influence from French furet (“ferret”). 	 
gaja 	Adjective 	gay, merry, glad 	From English gay, French gai, Italian gaio. 	 
gajega 	Adjective 	jolly; jovial 	gaja (“merry”) +‎ -eg- (“augmentative”) +‎ -a 	 
gajni 	Verb 	(transitive) to gain, earn 	From French gagner, English gain. 	 
ganto 	Noun 	glove 	Borrowed from French gant. 	 
garnizono 	Noun 	garrison 	Borrowed from French garnison. 	 
gazeto 	Noun 	gazette, newspaper, magazine 	From French gazette, Italian gazzetta. 	 
gazetanonco 	Noun 	newspaper advertisement / ad 	gazeto +‎ anonco. 	 
gazono 	Noun 	lawn, yard 	From French gazon. 	 
genro 	Noun 	(grammar) gender 	Ultimately from Latin genus, possibly through French genre. The feminist and LGBT sense is a semantic loan from English gender. Doublet of ĝenro. 	 
genuo 	Noun 	(anatomy) knee 	From French genou and Latin genū. 	 
giĉeto 	Noun 	wicket, ticket-window 	From French guichet + -o. 	 
gilotino 	Noun 	guillotine 	From French guillotine. 	 
girlando 	Noun 	garland 	From French guirlande. 	 
glacio 	Noun 	ice 	Borrowed from French glace, Italian ghiaccio, Latin glaciēs (“ice”). 	 
glaceo 	Noun 	icing 	  	 
glacia 	Adjective 	icy 	From glacio (“ice”) +‎ -a (adjectival suffix). 	 
glacia nano 	Noun 	(astronomy) ice dwarf 	  	 
glaciaĵo 	Noun 	ice cream 	From glacio (“ice”) +‎ -aĵo (“manifestation”). 	 
glacikampo 	Noun 	(geography) ice shelf 	glacio +‎ kampo 	 
glacimonto 	Noun 	iceberg 	From glacio +‎ monto, calque of  German Eisberg and  English iceberg. Attested as early as the 1900s. 	 
glaciejo 	Noun 	(geology) glacier 	From glacio +‎ -ejo. 	 
glavo 	Noun 	sword 	Borrowed from French glaive. 	 
glavingo 	Noun 	scabbard, sheath 	glavo (“sword”) +‎ -ingo (“socket”) 	 
gluti 	Verb 	to swallow 	From Russian глота́ть (glotátʹ), French engloutir. 	 
engluti 	Verb 	to swallow up 	en +‎ gluti 	 
gorĝo 	Noun 	(anatomy) throat 	Borrowed from French gorge. 	 
gorĝa 	Adjective 	(anatomy) of or related to the throat 	  	 
grajno 	Noun 	(single) grain; granule; particle 	From French grain. 	 
granda 	Adjective 	big, large 	Borrowed from French grand. 	 
grandampleksa 	Adjective 	extensive, vast 	granda +‎ amplekso +‎ -a. 	 
grandeco 	Noun 	size 	From granda +‎ -eco. 	 
grati 	Verb 	to scratch 	Probably a borrowing from French gratter. 	 
grava 	Adjective 	important 	From French and Italian grave, ultimately from Latin gravis. 	 
grimpi 	Verb 	(intransitive) to climb 	Borrowed from French grimper. 	 
grinci 	Verb 	(usually intransitive) to creak, grate, grind, gnash 	From French grincer. 	 
grioto 	Noun 	sour cherry, morello cherry (fruit of Prunus cerasus) 	From French griotte. 	 
gvati 	Verb 	(transitive) to spy on 	From Italian guatare and French guetter. 	 
gvidi 	Verb 	to guide, to lead 	From French guider, Italian guidare, English guide. 	 
ĝardeno 	Noun 	garden 	From French jardin, Italian giardino, English garden. 	 
ĝardenisto 	Noun 	gardener 	From ĝardeno +‎ -isto. 	 
popolĝardeno 	Noun 	public park 	From popola +‎ ĝardeno. 	 
ĝemi 	Verb 	(intransitive) to moan, groan 	From French gémir. 	 
ĝemado 	Noun 	moan 	  	 
ĝemo 	Noun 	moan, groan 	 	 
ĝenerala 	Adjective 	general 	From French général and English general, ultimately from Latin generālis. 	 
ĝeni 	Verb 	to bother, trouble 	From French gêner. 	 
ĝena 	Adjective 	bothersome, troublesome 	From French gênant. 	 
ĝenaĵo 	Noun 	something bothersome / troublesome 	From ĝena (“bothersome, troublesome”) +‎ -aĵo. 	 
ĝene 	Adverb 	bothersomely, troublesomely 	  	 
ĝeno 	Noun 	fuss, bother, trouble 	  	 
ĝenro 	Noun 	genre 	From English genre, from French genre, from Latin genus, generis. Doublet of genro. 	 
ĝis 	Preposition 	until 	From French jusque, influenced by German bis. 	 
ĝoji 	Verb 	to be glad, happy, or joyful; to rejoice 	English joy, French joie, Italian gioia. 	 
antaŭĝoji 	Verb 	(intransitive) to look forward [+ pri (to)] (to anticipate with eagerness) (can also take infinitives as an argument without a preposition) 	From antaŭ- +‎ ĝoji. 	 
ĝui 	Verb 	to enjoy 	Borrowed from French jouir. 	 
ĝusta 	Adjective 	right, correct, exact 	From French juste. 	 
alĝustigi 	Verb 	to adjust (improve, rectify) 	From al- +‎ ĝustigi. 	 
hazardo 	Noun 	accidence, chance 	From French hasard (“chance, coincidence, hazard”), from Old French hasart (“game, risk, danger”), from Arabic اَلزَّهْر‎ (az-zahr, “the dice”). 	 
hazarda 	Adjective 	chance; random; accidental 	From hazardo +‎ -a. 	 
hazarde 	Adverb 	by chance; randomly; at random 	From hazardo +‎ -e. 	 
hieraŭ 	Adverb 	yesterday 	Borrowed from French hier  +‎ -aŭ. 	 
antaŭhieraŭ 	Adverb 	on the day before yesterday 	From antaŭ- +‎ hieraŭ. 	 
hipotezo 	Noun 	hypothesis 	From French hypothèse or German Hypothese. 	 
honti 	Verb 	(intransitive) to be ashamed 	Borrowed from French honte  +‎ -i. 	 
hontigi 	Verb 	(transitive) to abash 	From honti (“to be ashamed”) +‎ -igi. 	 
honto 	Noun 	shame 	From honti (“to be ashamed”) +‎ -o. 	 
horloĝo 	Noun 	clock, watch, timepiece 	French horloge 	 
brakhorloĝo 	Noun 	watch, wristwatch 	brako +‎ horloĝo 	 
murhorloĝo 	Noun 	wall clock 	From muro (“wall”) +‎ horloĝo (“clock”). 	 
sablohorloĝo 	Noun 	hourglass 	sablo (“sand”) +‎ horloĝo (“clock”) 	 
vekhorloĝo 	Noun 	alarm clock 	veki +‎ horloĝo 	 
hurli 	Verb 	(intransitive) to howl 	From French hurler. 	 
igluo 	Noun 	igloo 	Borrowed from English igloo, Russian и́глу (íglu) and/or French igloo, etc. 	 
imagi 	Verb 	to imagine 	From French imaginer, Italian immaginare, English imagine. 	 
imagebla 	Adjective 	imaginable 	From imagi +‎ -ebla. 	 
imagema 	Adjective 	imaginative 	From imagi (“to imagine”) +‎ -ema (“liking”). 	 
infano 	Noun 	child 	From French enfant. 	 
infaneco 	Noun 	childhood 	From infano (“child”) +‎ -eco (“abstract quality”). 	 
infansoldato 	Noun 	child soldier 	infano (“child”) +‎ soldato (“soldier”) 	 
infaneto 	Noun 	baby, infant 	From infano +‎ -et-. 	 
informi 	Verb 	to inform 	From French informer, German informieren, Italian informare, English inform, ultimately from Latin informare. 	 
informa 	Adjective 	informative 	  	 
informanto 	Noun 	singular present nominal active participle of informi 	  	 
informiĝi 	Verb 	to get informed, find out something 	informi +‎ -iĝi 	 
informo 	Noun 	information 	  	 
inĝeniero 	Noun 	engineer 	From French ingénieur, reinforced by German Ingenieur, Dutch ingenieur, also from French. 	 
ĉefinĝeniero 	Noun 	chief-engineer, engineer-in-chief 	From ĉef- +‎ inĝeniero (“engineer”). 	 
inkluzivi 	Verb 	to include 	From Latin includere (“to shut in, enclose, insert”), Italian includere, French inclure etc. 	 
insekto 	Noun 	insect 	From French insecte, English insect. 	 
instrui 	Verb 	to teach 	From German instruieren, French instruire. 	 
instruisto 	Noun 	teacher 	From instrui (“instruct”) +‎ -isto (“professional”). 	 
instruistino 	Noun 	(obsolete) female teacher 	From instruisto +‎ -ino (“female”). 	 
inviti 	Verb 	(transitive) to invite 	From French inviter, Italian invitare, Italian invite, ultimately from Latin invītāre. 	 
juna 	Adjective 	young 	From German jung and French jeune. 	 
june 	Adverb 	in a young manner, youthfully 	  	 
juneco 	Noun 	the quality of being young, youngness, youth 	From juna (“young”) +‎ -eco (“quality”). 	 
juni 	Verb 	(intransitive) to be young 	  	 
junulo 	Noun 	youth (person), young person 	From juna (“young”) +‎ -ulo (“person”). 	 
gejunuloj 	Noun 	(plural only, dated) youths, including both female(s) and male(s) 	ge- (“both sexes (or: of any sex)”) +‎ junuloj (“youths”) 	 
jupo 	Noun 	skirt 	Borrowed from French jupe. 	 
minijupo 	Noun 	miniskirt 	Borrowed from French minijupe; analyzable as mini- +‎ jupo. 	 
jupeto 	Noun 	small skirt 	From jupo (“skirt”) +‎ -et-. 	 
subjupo 	Noun 	petticoat 	From sub- (“under, below”) +‎ jupo (“skirt”). 	 
jurto 	Noun 	yurt 	Borrowed from Russian ю́рта (júrta), German Jurte, French yourte and/or French yurt, from a Turkic language, related to Turkish yurt (“home, homeland”) 	 
ĵaluza 	Adjective 	jealous 	From French jaloux, jalouse + -a. 	 
ĵaŭdo 	Noun 	Thursday 	Derived from French jeudi. 	 
ĵaŭde 	Adverb 	on Thursday 	ĵaŭdo (“Thursday”) +‎ -e (“adverb”) 	 
ĉiuĵaŭde 	Adverb 	every Thursday 	From ĉiu (“every one”) +‎ ĵaŭde (“on Thursday”) [from ĵaŭdo (“Thursday”) +‎ -e (adverb)]. 	 
pasintĵaŭde 	Adverb 	last Thursday 	pasinta (“past”) (past participle of pasi) + ĵaŭdo (“Thursday”) +‎ -e. 	 
sankta ĵaŭdo 	Noun 	(Christianity) the Thursday before Easter, Holy Thursday, Maundy Thursday 	sankta (“sacred”) + ĵaŭdo (“Thursday”) 	 
ĵeti 	Verb 	(transitive) to throw, fling, lob, pitch 	Borrowed from French jeter. 	 
alĵeti 	Verb 	(transitive) to throw (in a specified direction); to throw to, at or against. 	From al- +‎ ĵeti. 	 
forĵeti 	Verb 	(transitive) to throw away 	From for- (“away”) +‎ ĵeti (“to throw”). 	 
forĵetaĵo 	Noun 	rubble, trash; something that is thrown away 	From forĵeti +‎ -aĵo. 	 
forĵetebla 	Adjective 	which can be thrown away ("[throw away]-able"), disposable 	From forĵeti +‎ -ebla. 	 
ĵetegi 	Verb 	(transitive) to hurl, to throw with all one's might or strength 	From ĵeti +‎ -eg- (“greatly, extremely”). 	 
ĵeteti 	Verb 	(transitive) to toss 	From ĵeti +‎ -et-. 	 
suprenĵeti 	Verb 	(transitive) to propel upwards (towards the surface) 	From supren +‎ ĵeti. 	 
ĵongli 	Verb 	(intransitive) To juggle. 	From French jongler. 	 
ĵonglisto 	Noun 	juggler 	From ĵongli +‎ -isto. 	 
ĵuri 	Verb 	to swear 	From French jurer. 	 
ĵurnalo 	Noun 	newspaper 	From French journal. 	 
ĵurnalisto 	Noun 	journalist 	From ĵurnalo +‎ -isto. 	 
ĵurnalista 	Adjective 	journalistic 	From ĵurnalisto (“journalist”) +‎ -a. 	 
ĵus 	Adverb 	just (recently) 	From French justement, English just. 	 
kabano 	Noun 	cabin, hut 	Borrowed from English cabin, French cabane, from Medieval Latin capanna. 	 
kabaneto 	Noun 	hut, shanty 	From kabano (“hut, wood cabin, hustle”) +‎ -et-. 	 
kadro 	Noun 	frame 	From French cadre, Greek κάδρο (kádro). 	 
kafo 	Noun 	coffee 	From French café, Italian caffè, and German Kaffee, which derive from Turkish kahve, itself from Arabic قهوة‎. 	 
kafejo 	Noun 	café 	From kafo (“coffee”) +‎ -ejo. 	 
kaĝo 	Noun 	cage 	From French cage. 	 
kajero 	Noun 	notebook 	Borrowed from French cahier (“notebook”). 	 
kajo 	Noun 	platform (structure for passengers) 	From English quay, French quai. 	 
kalemburo 	Noun 	pun 	From French calembour. 	 
kaleŝo 	Noun 	carriage, coach 	Borrowing from French calèche and Russian коляска (koljaska). 	 
kalifo 	Noun 	caliph 	From English caliph, French calife, and German Kalif, from Arabic خَلِيفَة‎ (ḵalīfa, “caliph”) and خَلِيف‎ (ḵalīf, “successor”). 	 
kamarado 	Noun 	comrade, pal, buddy 	From French camarade. 	 
kamaradeco 	Noun 	camaraderie, comradeship 	  	 
kamiono 	Noun 	truck 	From French camion. 	 
kanajlo 	Noun 	scoundrel, rogue 	Borrowed from French canaille. 	 
kanajlaro 	Noun 	riffraff, scum 	From kanajlo +‎ -ar-. 	 
kanapo 	Noun 	sofa 	Borrowed from French canapé. 	 
kancero 	Noun 	cancer (disease of uncontrolled cellular proliferation) 	From French and English cancer, from Italian cancro 	 
kankro 	Noun 	crayfish 	French cancre 	 
kapabla 	Adjective 	capable 	Borrowed from French capable. 	 
karapaco 	Noun 	carapace 	From English and French carapace, from Portuguese carapaça (“carapace, shell”). 	 
karesi 	Verb 	to caress, fondle 	Borrowed from French caresser and/or English caress. 	 
karikaturo 	Noun 	caricature 	From French caricature, from Italian caricatura. 	 
karoo 	Noun 	(card games) The suit of diamonds, marked with the symbol ♦. 	French carreau 	 
karoserio 	Noun 	(automotive) frame 	Borrowed from French carrosserie. 	 
karto 	Noun 	card 	From French carte, German Karte. 	 
ĉefkarto 	Noun 	(electronics) backplane 	From ĉef- +‎ karto. 	 
kartludo 	Noun 	card game 	From karto (“card”) +‎ ludo (“game”). 	 
ludkarto 	Noun 	(card games) playing card 	  	 
ludkartaro 	Noun 	(card games) deck of cards 	From ludkarto (“playing card”) +‎ -aro (“collection”). 	 
poŝtkarto 	Noun 	postcard 	poŝto (“post, mail”) +‎ karto (“card”) 	 
kartografio 	Noun 	cartography 	From French cartographie. 	 
kartografia 	Adjective 	cartographic 	From kartografio +‎ -a. 	 
kartografo 	Noun 	(cartography) cartographer 	  	 
kaŝi 	Verb 	(transitive) to hide, to conceal 	From French cacher. 	 
kaŝangulo 	Noun 	hiding place 	From kaŝi (“to hide”) +‎ angulo (“corner”). 	 
kaŝejo 	Noun 	a hiding place 	From kaŝi (“to hide”) +‎ -ejo (“place”). 	 
kaŝiĝi 	Verb 	(intransitive) to hide 	kaŝi +‎ -iĝi 	 
kato 	Noun 	cat 	Borrowed from French chat, English cat, Russian кот (kot), Yiddish קאַץ‎‎‎ (kats‎‎), Italian gatto, German Katze, etc., from Latin cattus, from an Afro-Asiatic language. 	 
kaŭĉuko 	Noun 	rubber (substance) 	From French caoutchouc, from Quechua kawchu. 	 
kazemato 	Noun 	casemate 	From French casemate, from Italian casamatta. 	 
kelke 	Adverb 	a few, some, several 	kelka +‎ -e 	 
kero 	Noun 	(card games) The suit of hearts, marked with the symbol ♥. 	French cœur 	 
keroj 	Noun 	plural of kero 	  	 
kiel 	Preposition 	as (in a "tiel... kiel..." phrase) 	From ki- (“interrogative and relative correlative prefix”) + -el (“correlative suffix of manner or degree”). 	 
kie 	Adverb 	where 	ki- (“interrogative and relative correlative prefix”) + -e (“correlative suffix of place”) 	 
kie ajn 	Adverb 	wherever 	  	 
kiam 	Adverb 	when (interrogative correlative of time) 	ki- (“interrogative and relative correlative prefix”) + -am (“correlative suffix of time”) 	 
