bela 	Adjective 	beautiful, pretty 	Common Romance, from Latin bellus. 	 
sklavo 	Noun 	slave 	From English slave, French esclave, German Sklave, Italian schiavo, Spanish esclavo, all ultimately from Medieval Latin sclavus (“slave”). Doublet of slavo. 	 
sklaveco 	Noun 	slavery 	From sklavo (“slave”) +‎ -eco (“quality”). 	 
sklavigi 	Verb 	(transitive) to enslave 	From sklavo (“slave”) +‎ -igi (“to cause to be”). 	 
spozo 	Noun 	(neologism) spouse (married partner) 	Borrowed from Ido spozo, from Italian sposo/sposa, Spanish esposo/esposa, French époux/épouse, English spouse, all ultimately from Latin spōnsus (“bridegroom”)/spōnsa (“bride”), from spondere (“to vow, to pledge”), from Proto-Indo-European *spend-. 	 
streta 	Adjective 	narrow 	Borrowed from Ido streta, from English strait, Italian stretto, Spanish estrecho. 	 
sudo 	Noun 	south 	From English south, French sud, German Süden, Italian sud, Spanish sur, all ultimately from Proto-Germanic *sunþrą. 	 
sudano 	Noun 	southerner 	sudo (“south”) +‎ -ano (“inhabitant”) 	 
suspensorio 	Noun 	jockstrap 	From Italian sospensorio, Spanish suspensorio. 	 
tenera 	Adjective 	tender 	Borrowed from Ido tenera, from English tender, French tendre, Italian tenero, Spanish tierno. 	 
teo 	Noun 	tea 	Borrowed from English tea, French thé, German Tee, Italian tè, Spanish té, all ultimately from Min Nan 茶 (tê). 	 
teejo 	Noun 	(rare) teahouse 	From teo (“tea”) +‎ -ejo. 	 
teujo 	Noun 	teapot 	From teo (“tea”) +‎ -ujo (“container for”). 	 
timida 	Adjective 	timid 	From English timid, French timide, Italian timido, Spanish tímido. 	 
tortiljo 	Noun 	tortilla 	From Spanish tortilla 	 
transgenrulo 	Noun 	(neologism) a transgender person 	From trans- (“across”) +‎ genro (“gender”) +‎ -ulo (“person”), based on English transgender, French transgenre, Spanish transgénero. 	 
trista 	Adjective 	sad 	Borrowed from Ido trista, from French triste, Italian triste, Spanish triste. 	 
triumfo 	Noun 	triumph 	Borrowed from English triumph, French triomphe, German Triumph, Italian trionfo, Russian триу́мф (triúmf) and Spanish triunfo, all ultimately from Latin triumphus, from Ancient Greek θρίαμβος (thríambos). 	 
vakero 	Noun 	a cowhand 	From Spanish vaquero. 	 
vakera 	Adjective 	of or related to cowhands 	From vakero (“cow hand”) +‎ -a. 	 
vakera ĉapelo 	Noun 	cowboy hat 	  	 
